"","GSM230349","GSM230350","GSM230351","GSM230352","GSM230353","GSM230354","GSM230355","GSM230356","GSM230357","GSM230358","GSM230359","GSM230360"
"ABRAXAS1",3.5531305966594,3.25543880518965,3.57368095666755,3.48161718546309,3.46252235862542,3.33610819703812,3.34776729812332,3.27052214237859,3.47449748547389,3.60268501557488,3.33326201516686,3.47400266460795
"ABRAXAS2",6.98387020094769,7.00244518604248,7.05116875875594,6.77125289467394,6.98221454663262,6.81982942291897,6.93108498032423,6.80791478746368,6.62799176079412,7.0020254709098,6.951652160361,6.973411525703
"ABT1",5.05891312228099,5.20445503104142,5.1220831866656,5.20693975525833,5.15319338633838,5.48324552078314,5.42950215113779,5.06408109623992,5.4019190242881,5.45181078830811,5.60659925729086,5.33233772868986
"ABTB1",3.68130226887877,3.73990067044608,3.71348749774221,3.69076678651905,3.58189057356411,3.68285934890533,3.67409674419706,3.59947602011496,3.66590001593188,3.67281080737697,3.65748070654807,3.54835254755114
"ABTB2",3.28314181017282,3.15868033545362,3.21550769807638,3.15553638970344,3.24422910136576,3.4526588411305,3.38292615090371,3.0919680219779,3.21438560719205,3.19518347566675,3.18481306871616,3.15284958438026
"ABTB3",2.1068277662572,2.09180828052436,2.212804881065,2.06646013667614,2.20709705394186,2.3902241304482,2.07625875381637,2.21128916486568,2.2452059331993,2.3428230910926,2.06948364810222,1.99902881761238
"ACAA1",6.83139011008588,6.99520575405545,6.94869423853508,7.3696652850109,7.05446108455623,7.09590596138071,6.9482120043988,6.99234051329196,7.4035309927142,7.3243353277313,7.19112478616467,7.06616859896499
"ACAA2",5.07757789166166,5.04887971232901,5.04271047216065,5.19079599858433,5.23434469617733,5.17993746845274,5.16934855045486,5.11619610658736,4.99728391352918,5.0880458031326,5.20780545677086,5.19898164688107
"ACACA",4.63028938529428,4.40209474652496,4.49035400863205,4.0702870970279,4.19777757696865,4.06031318098738,4.35259623865253,4.17786455106847,4.070084778863,4.12506145513997,4.1802626760009,4.12202885611836
"ACACB",3.62586054427477,3.64759687751591,3.73861054868874,4.26478953077471,4.12323899490905,4.2721955955881,4.37518963406974,4.08961768564321,4.09919125315452,4.05325489614323,4.23578970240478,4.10245129126132
"ACAD10",3.144812420817,3.20662718604816,3.1486275201596,3.30213482172624,3.25771788026567,3.287966952833,3.14855561096229,3.28269719223015,3.29160058574045,3.40925251549207,3.28397536742152,3.22902532311458
"ACAD11",3.3438005576118,3.3557851456405,3.12778220070381,2.88558493102863,3.20007069969385,3.44746661886374,3.38552807610953,3.20766159065423,3.38915608176482,3.42309700132419,3.06982954634934,3.06982954634934
"ACAD8",5.40369865592144,4.99377713808883,5.20535251805871,5.47751234372965,5.40345665760534,4.92831436267286,4.97155892852814,5.22745858628914,5.3073850572064,5.4212847189843,5.32069998356871,5.18993870842295
"ACAD9",5.93463125812439,5.80294750526696,5.71407876571045,6.00459219031302,5.86691808452102,5.93046719172567,5.899407346422,5.90158933093862,6.10402266998015,6.22307949753775,6.12549683638785,5.98328257258446
"ACADL",1.98092890413931,2.08586026379943,1.9210238235083,2.13144615405941,2.00370630594618,2.1274826382086,1.97955859391534,1.9871666909753,1.99986745838077,1.83422148840478,2.15751927389231,2.19049351781542
"ACADM",6.89829436604396,6.88619506167417,6.8937894941267,8.00377379731092,7.7640760060356,7.83018152582591,7.66179655676426,7.77347708921017,7.87111234079617,7.82907276197373,7.73918083084602,7.59993230696267
"ACADS",4.2969506817499,4.28203269256378,4.09757643169517,4.35032126581634,4.22640753892909,4.28898185252795,4.36248249234044,4.1969469937002,4.91650848737102,4.55108987788281,4.34315181654808,4.35504342006351
